guid,id,name,Platform,Rating,Score,Action,Platformer,Puzzle,First-Person Shooter,Driving/Racing,Vehicular Combat,Shooter,Fighting,Adventure,Role-Playing,Action-Adventure,Shoot 'Em Up,Brawler,Wrestling,Compilation,Strategy,Simulation,Sports,Flight Simulator,Music/Rhythm,Baseball,Card Game,Trivia/Board Game,Football,Dual-Joystick Shooter,Golf,Real-Time Strategy,MMORPG,Tennis,Text Adventure,Soccer,Light-Gun Shooter,Billiards,Block-Breaking,Pinball,MOBA,Bowling,Snowboarding/Skiing,Basketball,Skateboarding,Educational,Minigame Collection,Cricket,Hockey,Fishing,Gambling,Surfing,Boxing,Fitness,Track & Field
3030-185,185,Bomb Jack,PS4,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-361,361,FantaVision,PS4,E,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-621,621,Doom II: Hell on Earth,PS4,T,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-689,689,Jak X: Combat Racing,PS4,T,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-840,840,Metal Slug 2: Super Vehicle - 001/II,PS4,T,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-928,928,Solomon's Key,PS4,E,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-939,939,Real Bout Fatal Fury,PS4,T,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-993,993,Okage: Shadow King,PS4,T,,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1005,1005,Realms of Arkania Vol. 2: Star Trail,PS4,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1063,1063,Metal Slug 3,PS4,T,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1066,1066,Flashback: The Quest for Identity,PS4,T,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1272,1272,Terra Cresta,PS4,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1578,1578,Resident Evil 4,PS4,M,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1618,1618,The Ninja Warriors,PS4,T,,Yes,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1761,1761,KiKi KaiKai,PS4,E,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1861,1861,Dark Cloud,PS4,T,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2024,2024,Psycho Soldier,PS4,E,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2077,2077,The Mark of Kri,PS4,M,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2119,2119,Magician Lord,PS4,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2133,2133,Call of Duty 4: Modern Warfare,PS4,M,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2285,2285,Bust-A-Move 2: Arcade Edition,PS4,E,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2325,2325,3 Count Bout,PS4,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2374,2374,The King of Fighters Collection: The Orochi Saga,PS4,T,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2390,2390,Ikari Warriors II: Victory Road,PS4,E10+,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2396,2396,Fatal Fury,PS4,T,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2414,2414,Max Payne,PS4,M,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2494,2494,Indigo Prophecy,PS4,AO,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2587,2587,Dig Dug,PS4,E,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2641,2641,Romancing SaGa 3,PS4,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
