guid,id,name,Platform,Rating,Action,Shooter,First-Person Shooter,Fighting,Action-Adventure,Platformer,Puzzle,Wrestling,Strategy,Role-Playing,Adventure,Music/Rhythm,Baseball,Brawler,Driving/Racing,Shoot 'Em Up,Simulation,Vehicular Combat,Card Game,Trivia/Board Game,Dual-Joystick Shooter,Golf,Flight Simulator,Real-Time Strategy,MMORPG,Soccer,Sports,Block-Breaking,Basketball,Compilation,Pinball,MOBA,Minigame Collection
3030-39001,39001,Defense Grid 2,XBoxOne,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,
3030-39010,39010,Deadpool,XBoxOne,M,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-39011,39011,The Bridge,XBoxOne,E,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-39035,39035,Battlefield 4,XBoxOne,M,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-39042,39042,The Walking Dead: Season Two,XBoxOne,M,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
3030-39154,39154,Unmechanical,XBoxOne,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
3030-39185,39185,Lightning Returns: Final Fantasy XIII,XBoxOne,T,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
3030-39225,39225,BlazBlue: Chrono Phantasma,XBoxOne,T,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-39238,39238,Battle High 2,XBoxOne,T,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-39256,39256,DayZ,XBoxOne,M,,,Yes,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,
3030-39457,39457,Warhammer Quest,XBoxOne,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
3030-39484,39484,Giana Sisters: Twisted Dreams,XBoxOne,E,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-39486,39486,Broken Sword: The Serpent's Curse,XBoxOne,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
3030-39575,39575,Metal Gear Solid V: Ground Zeroes,XBoxOne,M,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-39593,39593,Knock-Knock,XBoxOne,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
3030-39614,39614,1001 Spikes,XBoxOne,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-39664,39664,Don't Starve,XBoxOne,T,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
3030-39750,39750,The Evil Within,XBoxOne,M,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-39775,39775,Pillars of Eternity,XBoxOne,M,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
3030-39784,39784,Pinball FX3,XBoxOne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,
3030-39813,39813,Armello,XBoxOne,E10+,,,,,,,,,,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,
3030-39825,39825,Slender: The Arrival,XBoxOne,T,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
3030-39854,39854,Brothers: A Tale of Two Sons,XBoxOne,T,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
