guid,id,name,Platform,Rating,Score,Action,Shooter,Adventure,Platformer,Shoot 'Em Up,Fighting,Driving/Racing,First-Person Shooter,Action-Adventure,Puzzle,Brawler,Strategy,Wrestling,Role-Playing,Light-Gun Shooter,Sports,Compilation,Boxing,Music/Rhythm,Baseball,Simulation,Vehicular Combat,Card Game,Golf,Football,Dual-Joystick Shooter,Soccer,Trivia/Board Game,Flight Simulator,Tennis,Hockey,Pinball,MMORPG,Real-Time Strategy,Block-Breaking,Basketball,Bowling,Minigame Collection,MOBA,Educational,Snowboarding/Skiing,Text Adventure,Fishing,Skateboarding,Gambling,Billiards,Track & Field,Fitness,Cricket
3030-18,18,Metal Slug X: Super Vehicle - 001,Switch,T,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-82,82,Saboteur,Switch,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-86,86,Balloon Fight,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-185,185,Bomb Jack,Switch,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-307,307,Atomic Robo-Kid,Switch,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-311,311,Donkey Kong,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-379,379,Waku Waku 7,Switch,E10+,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-397,397,James Pond 2: Codename: RoboCod,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-400,400,Riding Hero,Switch,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-621,621,Doom II: Hell on Earth,Switch,T,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-791,791,Demon's Crest,Switch,E,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-840,840,Metal Slug 2: Super Vehicle - 001/II,Switch,T,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-928,928,Solomon's Key,Switch,E,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-939,939,Real Bout Fatal Fury,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1009,1009,Star Soldier,Switch,E,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1063,1063,Metal Slug 3,Switch,T,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1066,1066,Flashback: The Quest for Identity,Switch,T,,,,,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1272,1272,Terra Cresta,Switch,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1327,1327,Express Raider,Switch,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1334,1334,Super Mario World,Switch,E,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1578,1578,Resident Evil 4,Switch,M,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1618,1618,The Ninja Warriors,Switch,T,,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1653,1653,Ninja Gaiden,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1761,1761,KiKi KaiKai,Switch,E,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1916,1916,Puyo Puyo,Switch,E,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1975,1975,Syberia II,Switch,T,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2018,2018,Metal Slug 4,Switch,T,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2024,2024,Psycho Soldier,Switch,E,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2119,2119,Magician Lord,Switch,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2285,2285,Bust-A-Move 2: Arcade Edition,Switch,E,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2325,2325,3 Count Bout,Switch,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2390,2390,Ikari Warriors II: Victory Road,Switch,E10+,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2396,2396,Fatal Fury,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2465,2465,Sonic the Hedgehog,Switch,K-A,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2582,2582,Wario's Woods,Switch,E,,,,,Yes,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2641,2641,Romancing SaGa 3,Switch,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2760,2760,Art of Fighting,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2797,2797,Crazy Chicken: Wanted,Switch,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2804,2804,Twinkle Star Sprites,Switch,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2866,2866,Super Mario World 2: Yoshi's Island,Switch,K-A,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-3244,3244,Toki Tori,Switch,E,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-3296,3296,Donkey Kong 3,Switch,E,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-3329,3329,Star Force,Switch,E,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-3387,3387,Samurai Shodown V,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-3482,3482,Shinobi,Switch,T,,Yes,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-3552,3552,Super Dodge Ball,Switch,E,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-3574,3574,Mosaic,Switch,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-3684,3684,Oddworld: Munch's Oddysee,Switch,E,,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-3984,3984,Star Fox,Switch,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-4124,4124,The King of Fighters '97,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-4249,4249,The King of Fighters '94,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-4363,4363,Samurai Shodown IV: Amakusa's Revenge,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-4418,4418,Langrisser I & II,Switch,T,,,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-4600,4600,Cyber-Lip,Switch,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-4625,4625,King of the Monsters,Switch,E10+,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-4721,4721,Clu Clu Land,Switch,E,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-4816,4816,Double Dragon II: The Revenge,Switch,E10+,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-4848,4848,Mike Tyson's Punch-Out!!,Switch,E10+,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-4929,4929,Puyo Puyo 2,Switch,E,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-5026,5026,Adventures of Lolo,Switch,E,,Yes,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-5057,5057,Lumines: Puzzle Fusion,Switch,E,,,,,,,,,,,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-5178,5178,In the Hunt,Switch,E10+,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-5259,5259,Super Baseball 2020,Switch,E,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-5268,5268,Sly Spy: Secret Agent,Switch,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-5546,5546,Sengoku 2,Switch,T,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-5577,5577,Baseball Stars 2,Switch,E,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-5648,5648,Burnout Paradise,Switch,E10+,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-5689,5689,Ninja Commando,Switch,E10+,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-5692,5692,Samurai Shodown,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-5964,5964,The King of Fighters '99,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-6036,6036,Space Harrier,Switch,E,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-6165,6165,Zed Blade,Switch,E,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-6315,6315,Constructor,Switch,T,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-6538,6538,Samurai Shodown V Special,Switch,M,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-6608,6608,River City Ransom,Switch,E10+,,Yes,,,,,Yes,,,Yes,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-6619,6619,Earth Defense Force,Switch,E,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-6657,6657,Blue's Journey,Switch,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-6941,6941,Metal Slug: Super Vehicle - 001,Switch,T,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-7052,7052,Turok 2: Seeds of Evil,Switch,T,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-7111,7111,Savage Reign,Switch,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-7326,7326,Doom,Switch,T,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-7383,7383,NAM-1975,Switch,E10+,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-7400,7400,Phantasy Star,Switch,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-7450,7450,Super Ghouls 'N Ghosts,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-7451,7451,Moon Cresta,Switch,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-7564,7564,The Last Blade 2,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-7581,7581,The King of Fighters 2002: Challenge to Ultimate Battle,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-7667,7667,Magical Drop II,Switch,T,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-7778,7778,Pulstar,Switch,E10+,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8039,8039,Sky Skipper,Switch,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8045,8045,Karnov's Revenge,Switch,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8145,8145,Baseball,Switch,E,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8146,8146,The King of Fighters '96,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8187,8187,The Super Spy,Switch,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8292,8292,Super Metroid,Switch,K-A,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8321,8321,Princess Maker 3: Fairy Tales Come True,Switch,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8377,8377,Mutation Nation,Switch,E10+,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8638,8638,Titan Quest,Switch,T,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8825,8825,Final Fantasy IX,Switch,T,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8867,8867,Art of Fighting 3: The Path of The Warrior,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8885,8885,NES Open Tournament Golf,Switch,E,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-8980,8980,Urban Champion,Switch,E,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9030,9030,Romancing SaGa 2,Switch,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9088,9088,Onimusha: Warlords,Switch,M,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9101,9101,Alex Kidd in Miracle World,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9292,9292,Heavy Barrel,Switch,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9316,9316,Kirby's Dream Course,Switch,K-A,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9432,9432,King of the Monsters 2: The Next Thing,Switch,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9449,9449,Argus,Switch,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9493,9493,Fantasy Zone,Switch,E,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9633,9633,Formation Z,Switch,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9647,9647,Sol Divide,Switch,E,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9763,9763,Joe & Mac: Caveman Ninja,Switch,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9766,9766,Kid Niki: Radical Ninja,Switch,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9868,9868,Athena,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9871,9871,Aero Fighters 3,Switch,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9953,9953,Neverwinter Nights,Switch,T,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-9982,9982,Joe & Mac 2: Lost in the Tropics,Switch,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10031,10031,Spinmaster,Switch,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10166,10166,10-Yard Fight,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
3030-10224,10224,Magical Drop III,Switch,T,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10247,10247,Resident Evil 0,Switch,M,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10261,10261,Bad Dudes,Switch,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10276,10276,The Legend of Zelda: A Link to the Past,Switch,K-A,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10299,10299,Super Mario Bros. 3,Switch,E,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10486,10486,Fighter's History,Switch,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10488,10488,Brawl Brothers,Switch,E10+,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10621,10621,The King of Fighters '98: The Slugfest,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10674,10674,Garou: Mark of the Wolves,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10827,10827,World Heroes Perfect,Switch,E10+,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-10901,10901,Penguin-Kun Wars,Switch,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11009,11009,Virtua Racing,Switch,E,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11046,11046,Moon: Remix RPG Adventure,Switch,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11068,11068,Kirby's Dream Land 3,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11205,11205,Moon Patrol,Switch,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11229,11229,Tecmo Bowl,Switch,E,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
3030-11260,11260,OutRun,Switch,E,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11324,11324,Astérix & Obélix XXL 2: Mission: Las Vegum,Switch,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11352,11352,Cloud Master,Switch,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11379,11379,Ghost Pilots,Switch,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11400,11400,Fatal Fury 2,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11500,11500,Windjammers,Switch,E,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11627,11627,Lightening Force: Quest for the Darkstar,Switch,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11674,11674,Ninja Spirit,Switch,E10+,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11757,11757,Crysis,Switch,M,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11758,11758,Crimsonland,Switch,T,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
3030-11813,11813,Guilty Gear,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11832,11832,Road Fighter,Switch,E,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11864,11864,Super Soccer,Switch,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
3030-11867,11867,Katamari Damacy,Switch,E,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11901,11901,Image Fight,Switch,E,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11903,11903,Frogger,Switch,E,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-11949,11949,The Legend of Zelda,Switch,E,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-12069,12069,Ikaruga,Switch,E,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-12277,12277,Final Fantasy VIII,Switch,T,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-12412,12412,Titeuf Mega Party,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
3030-12614,12614,Sphinx and the Cursed Mummy,Switch,T,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-12615,12615,Samurai Shodown III: Blades of Blood,Switch,T,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-12628,12628,Double Switch,Switch,T,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-12955,12955,Soccer,Switch,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
3030-13050,13050,Ninja Master's,Switch,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-13053,13053,Final Fantasy VII,Switch,T,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-13072,13072,Devil May Cry,Switch,M,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-13074,13074,Sengoku 3,Switch,T,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-13130,13130,Tetris Attack,Switch,K-A,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-13141,13141,Time Pilot,Switch,E,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-13169,13169,Ty the Tasmanian Tiger,Switch,E,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-13230,13230,Grim Fandango,Switch,T,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-13232,13232,City Connection,Switch,E,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-13256,13256,Mighty Bomb Jack,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-13297,13297,Two Crude Dudes,Switch,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
